SO,SO_id,DI,dimensions_id
Nurse Educator,jour.1086184,10.1097/00006223-900000000-99539,pub.1111015398
Nurse Educator,jour.1086184,10.1097/00006223-900000000-99545,pub.1110930016
Nurse Educator,jour.1086184,10.1097/00006223-900000000-99544,pub.1110930015
Nurse Educator,jour.1086184,10.1097/00006223-900000000-99543,pub.1110930014
Nurse Educator,jour.1086184,10.1097/00006223-900000000-99547,pub.1110875593
Nurse Educator,jour.1086184,10.1097/00006223-900000000-99558,pub.1110719539
Nurse Educator,jour.1086184,10.1097/00006223-900000000-99556,pub.1110719538
Nurse Educator,jour.1086184,10.1097/00006223-900000000-99555,pub.1110719537
Nurse Educator,jour.1086184,10.1097/00006223-900000000-99552,pub.1110719536
Nurse Educator,jour.1086184,10.1097/00006223-900000000-99551,pub.1110719535
Nurse Educator,jour.1086184,10.1097/00006223-900000000-99550,pub.1110719534
Nurse Educator,jour.1086184,10.1097/00006223-900000000-99576,pub.1110719546
Nurse Educator,jour.1086184,10.1097/00006223-900000000-99575,pub.1110719545
Nurse Educator,jour.1086184,10.1097/00006223-900000000-99571,pub.1110719544
Nurse Educator,jour.1086184,10.1097/00006223-900000000-99569,pub.1110719543
Nurse Educator,jour.1086184,10.1097/00006223-900000000-99568,pub.1110719542
Nurse Educator,jour.1086184,10.1097/00006223-900000000-99565,pub.1110719541
Nurse Educator,jour.1086184,10.1097/00006223-900000000-99564,pub.1110719540
Nurse Educator,jour.1086184,10.1097/00006223-900000000-99582,pub.1110719548
Nurse Educator,jour.1086184,10.1097/00006223-900000000-99577,pub.1110719547
Nurse Educator,jour.1086184,10.1097/00006223-900000000-99595,pub.1110719553
Nurse Educator,jour.1086184,10.1097/00006223-900000000-99593,pub.1110719552
Nurse Educator,jour.1086184,10.1097/00006223-900000000-99592,pub.1110719551
Nurse Educator,jour.1086184,10.1097/00006223-900000000-99591,pub.1110719550
Nurse Educator,jour.1086184,10.1097/00006223-900000000-99588,pub.1110719549
Nurse Educator,jour.1086184,10.1097/00006223-900000000-99597,pub.1110719554
Nurse Educator,jour.1086184,10.1097/nne.0000000000000540,pub.1104148650
